"userid","user_display_name","user_screen_name","user_reported_location","user_profile_description","user_profile_url","follower_count","following_count","account_creation_date","account_language"
"2oKJRUD5mx8G8Jju2EmepMPbEHRhEczZjYE4sm9mw=","2oKJRUD5mx8G8Jju2EmepMPbEHRhEczZjYE4sm9mw=","2oKJRUD5mx8G8Jju2EmepMPbEHRhEczZjYE4sm9mw=","321 Church St Pretoria","","","15","61","2020-07-02","en"
"6AJzIFz3WYsDveLGCqpEbgI13IWhY+OiLb4sniz6924=","6AJzIFz3WYsDveLGCqpEbgI13IWhY+OiLb4sniz6924=","6AJzIFz3WYsDveLGCqpEbgI13IWhY+OiLb4sniz6924=","","freedom freedom","","173","309","2020-09-25","en"
"EYGgWXC4XDt40UM3AdPnaf2kTL8P3wi6mwC2fzNl0FY=","EYGgWXC4XDt40UM3AdPnaf2kTL8P3wi6mwC2fzNl0FY=","EYGgWXC4XDt40UM3AdPnaf2kTL8P3wi6mwC2fzNl0FY=","","","","46","89","2020-08-19","en"
"r9YasnUJp2TKHLvcTtAbdyy4jy5O7ay9nrnRhiWUk=","r9YasnUJp2TKHLvcTtAbdyy4jy5O7ay9nrnRhiWUk=","r9YasnUJp2TKHLvcTtAbdyy4jy5O7ay9nrnRhiWUk=","","","","0","11","2020-10-15","en"
"khBp3+ZOwgBOkxwYZzMa3gg5fcjbUeAucksX5rwBVQ=","khBp3+ZOwgBOkxwYZzMa3gg5fcjbUeAucksX5rwBVQ=","khBp3+ZOwgBOkxwYZzMa3gg5fcjbUeAucksX5rwBVQ=","","","","0","9","2020-07-28","en"
"VQ0swD49e70TJyXvZEbW7PF1BR3vBHYWyGAnFHi6To=","VQ0swD49e70TJyXvZEbW7PF1BR3vBHYWyGAnFHi6To=","VQ0swD49e70TJyXvZEbW7PF1BR3vBHYWyGAnFHi6To=","1199 Plein St Kenwyn 7780","","","3","47","2020-06-15","en"
"E75Q9i72qt69cXlILSGXxoM2aToVMdeFHZFaxFpKGfo=","E75Q9i72qt69cXlILSGXxoM2aToVMdeFHZFaxFpKGfo=","E75Q9i72qt69cXlILSGXxoM2aToVMdeFHZFaxFpKGfo=","1350 Station Road Ladysmith","","","0","20","2020-09-09","en"
"sYGB58lfYeYYrNK4t+ObAwIpJoOYrxE6JriOdEA4YE=","sYGB58lfYeYYrNK4t+ObAwIpJoOYrxE6JriOdEA4YE=","sYGB58lfYeYYrNK4t+ObAwIpJoOYrxE6JriOdEA4YE=","233 Dickens St Springs","","","0","0","2020-07-03","en"
"r5cnVKW38KVRHNwVL12xK3uIJYc4xdfV2EJhFwiD20=","r5cnVKW38KVRHNwVL12xK3uIJYc4xdfV2EJhFwiD20=","r5cnVKW38KVRHNwVL12xK3uIJYc4xdfV2EJhFwiD20=","","","","0","1","2015-02-10","ru"
"q4jOL+aK62jxJh2vMRUrq8+9M5gRQM66JE+blJrdHk=","q4jOL+aK62jxJh2vMRUrq8+9M5gRQM66JE+blJrdHk=","q4jOL+aK62jxJh2vMRUrq8+9M5gRQM66JE+blJrdHk=","1839 Voortrekker St Amanzimtot","","","0","19","2020-06-25","en"
