awsOrigin,domain,state,lat,lng,locationVerified,httpResponseCode,contentLength,facebookUrl,siteName,twitterUsername,itunesAppStoreUrl,twitterAccountCreatedAt,twitterUserId,twitterFollowers,twitterFollowing,twitterTweets,siteOperator,twitterSuspended
3.82.80.110,greensbororeporter.com,NC,36.07,-79.79,0,200,80129,https://www.facebook.com/Greensboro-Reporter-116196246439218/,Greensboro Reporter,,,,,,,,Metric Media,
3.82.80.110,greenvilleleader.com,SC,34.85,-82.39,0,200,54450,https://www.facebook.com/Greenville-Leader-107358807607419/,Greenville Leader,,,,,,,,Metric Media,
34.236.176.60,greenvillereporter.com,NC,35.61,-77.37,0,200,79840,https://www.facebook.com/Greenville-Reporter-121924869195889/,Greenville Reporter,,,,,,,,Metric Media,
34.236.176.60,henricotimes.com,VA,37.51,-77.33,0,200,56111,https://www.facebook.com/Henrico-Times-109114634091299/,Henrico Times,,,,,,,,Metric Media,
34.236.176.60,hernandoreporter.com,FL,28.9,-82.37,0,200,74106,https://www.facebook.com/Hernando-Reporter-111908873695882/,Hernando Reporter,,,,,,,,Metric Media,
34.236.176.60,hickorysun.com,NC,35.73,-81.34,0,200,80958,https://www.facebook.com/Hickory-Sun-111121563617189/,Hickory Sun,,,,,,,,Metric Media,
34.236.176.60,highcountrytimes.com,NC,36.15,-81.66,0,200,80732,https://www.facebook.com/High-Country-Times-107671310631667/,High Country Times,,,,,,,,Metric Media,
34.236.176.60,hiltonheadreporter.com,SC,32.22,-80.75,0,200,54341,,Hilton Head Reporter,,,,,,,,Metric Media,
3.82.80.110,huntingtontimes.com,WV,38.42,-82.45,0,200,47999,https://www.facebook.com/Huntington-Times-100605064948709/,Huntington Times,,,,,,,,Metric Media,
34.236.176.60,ibxnews.com,NC,35.5,-77.07,0,200,80453,https://www.facebook.com/IBX-News-116157859776600/,IBX News,,,,,,,,Metric Media,
3.212.144.110,injouercad.us,,,,0,,,,,,,,,,,,,
34.236.176.60,johnstonreporter.com,NC,35.44,-78.38,0,200,79654,https://www.facebook.com/Johnston-Reporter-113415450052248,Johnston Reporter,,,,,,,,Metric Media,
34.236.176.60,kentcountytoday.com,DE,39.14,-75.43,1,200,65170,https://www.facebook.com/Kent-County-Today-114894533256835/,Kent County Today,,,,,,,,Metric Media,
3.82.80.110,keywestreporter.com,FL,24.56,-81.78,0,200,77016,https://www.facebook.com/Key-West-Reporter-101290521435932/,Key West Reporter,,,,,,,,Metric Media,
34.236.176.60,leetoday.com,FL,30.42,-83.3,0,200,77511,https://www.facebook.com/Lee-Today-108748577144427/,Lee Today,,,,,,,,Metric Media,
3.82.80.110,lowerwestscnews.com,SC,34.33,-82.39,0,200,48486,https://www.facebook.com/Lower-West-SC-News-109793517360801/,Lower West SC News,,,,,,,,Metric Media,
3.82.80.110,lynchburgreporter.com,VA,37.41,-79.14,0,200,55935,https://www.facebook.com/Lynchburg-Reporter-100104231673262/,Lynchburg Reporter,,,,,,,,Metric Media,
3.82.80.110,macontimes.com,GA,32.84,-83.63,0,200,60554,https://www.facebook.com/Macon-Times-111485710520674/,Macon Times,,,,,,,,Metric Media,
34.236.176.60,manateereview.com,FL,27.48,-82.35,0,200,75456,https://www.facebook.com/Manatee-Review-100390078195607/,Manatee Review,,,,,,,,Metric Media,
34.236.176.60,miamicourant.com,FL,25.76,-80.19,0,200,79338,https://www.facebook.com/Miami-Courant-105097064385873/,Miami Courant,,,,,,,,Metric Media,
34.236.176.60,mountainstatetimes.com,WV,38.6,-80.45,0,200,33037,https://www.facebook.com/Mountain-State-Times-102431838096187/,Mountain State Times,,,,,,,,Metric Media,
34.236.176.60,myrtlebeachleader.com,SC,33.69,-78.89,0,200,55903,https://www.facebook.com/Myrtle-Beach-Leader-111696603835456/,Myrtle Beach Leader,,,,,,,,Metric Media,
3.82.80.110,nantahalanews.com,NC,35.29,-83.67,0,200,79578,https://www.facebook.com/Nantahala-News-111249553604479/,Nantahala News,,,,,,,,Metric Media,
3.82.80.110,naplesstandard.com,FL,26.14,-81.79,0,200,77508,https://www.facebook.com/Naples-Standard-104766751085849/,Naples Standard,,,,,,,,Metric Media,
