domain,lat,lng,locationVerified,awsOrigin,facebookUrl,siteName,twitterUsername,itunesAppStoreUrl,twitterAccountCreatedAt,twitterUserId,twitterFollowers,twitterFollowing,twitterTweets
collintimes.com,33.2181719,-96.6418315,0,3.213.234.4,,Collin Times,,,,,,,
columbiamonews.com,38.9517053,-92.3340724,0,3.224.13.68,,,,,,,,,
columbiastandard.com,40.8075355,-73.9625727,0,3.212.144.110,,,,,,,,,
columbusstandard.com,39.9611755,-82.9987942,0,3.218.216.245,,,,,,,,,
conchovalleynews.com,31.4180499,-100.482093,0,3.213.234.4,,Concho Valley News,,,,,,,
cookcountyrecord.com,41.7376587,-87.697554,0,52.7.148.177,https://www.facebook.com/cookcountyrecord,Cook County Record,CookRecord,https://itunes.apple.com/us/app/cook-county-record/id715265623?mt=8,2013-08-06T19:51:38.000Z,1651123645,1114,408,12065
cornhuskerstatenews.com,41.4925374,-99.9018131,0,3.224.13.68,,,,,,,,,
corpuschristisun.com,27.8005828,-97.396381,0,3.213.234.4,,Corpus Christi Sun,,,,,,,
ctbusinessdaily.com,,,0,34.234.42.207,https://facebook.com/Connecticut-Business-Daily-229590937823711/,Connecticut Business Daily,,,,,,,
dakotatimes.com,44.973659,-93.275307,0,3.224.13.68,https://business.facebook.com/Dakota-Times-101460081279893/?business_id=898179107217559,Dakota Times,,,,,,,
dallascitywire.com,32.7766642,-96.7969879,0,3.213.234.4,,Dallas City Wire,,,,,,,
davistimes.com,38.5449065,-121.7405167,0,3.219.182.20,,,,,,,,,
daytonreporter.com,39.7589478,-84.1916069,0,3.218.216.245,,,,,,,,,
dcbusinessdaily.com,,,0,34.234.42.207,https://www.facebook.com/DC-Business-Daily-477871215985975/,Washington D.C. Business Daily,,,,,,,
debusinessdaily.com,,,0,34.234.42.207,https://facebook.com/Delaware-Business-Daily-1684218098340690/,Delaware Business Daily,,,,,,,
decaturtimes.com,33.7748275,-84.2963123,0,3.213.234.4,,,,,,,,,
dekalbganews.com,33.7956441,-84.2278796,0,3.212.144.110,,,,,,,,,
dekalbtimes.com,41.9294736,-88.7503647,0,35.170.88.147,https://www.facebook.com/DeKalb-Times-1650142418618920,DeKalb Times,DeKalb_Times,,2017-01-20T21:18:39.000Z,8.23E+17,67,0,756
delcoreview.com,39.907793,-75.3878525,0,3.218.216.245,,,,,,,,,
denvercitywire.com,39.7392358,-104.990251,0,3.219.182.20,,,,,,,,,
desmoinessun.com,41.5868353,-93.6249593,0,3.224.13.68,https://business.facebook.com/Des-Moines-Sun-101958604552546/?business_id=898179107217559,Des Moines Sun,,,,,,,
detroitcitywire.com,42.331427,-83.0457538,0,3.218.216.245,https://business.facebook.com/Detroit-City-Wire-105304140860043/?business_id=898179107217559,Detroit City Wire,,,,,,,
dorchestertoday.com,42.3016305,-71.067605,0,3.212.144.110,,,,,,,,,
downrivertoday.com,47.6868092,-117.4665337,0,3.218.216.245,https://business.facebook.com/Downriver-Today-116730986374533/?business_id=898179107217559,Downriver Today,,,,,,,
dubuquetimes.com,42.5022661,-90.6654675,0,3.224.13.68,https://business.facebook.com/Dubuque-Times-114048820002219/?business_id=898179107217559,Dubuque Times,,,,,,,
dupagepolicyjournal.com,41.8243831,-88.0900762,0,35.170.88.147,https://www.facebook.com/DuPage-Policy-Journal-440850842779072,Dupage Policy Journal,DupageJournal,,2015-01-29T14:45:45.000Z,3001471430,444,260,5060
durhamreporter.com,35.9940329,-78.898619,0,3.212.144.110,https://www.facebook.com/Durham-Reporter-118375432886638/,Durham Reporter,,,,,,,
duvaltimes.com,30.3500511,-81.6035062,0,3.212.144.110,,Duval Times,,,,,,,
eaglevalleytimes.com,39.0090037,-94.2264666,0,3.219.182.20,,,,,,,,,
eastarapahoenews.com,39.62031,-104.332644,0,3.219.182.20,,,,,,,,,
eastarizonanews.com,,,0,3.219.182.20,https://www.facebook.com/East-Arizona-News-107421190674893/,East Arizona News,,,,,,,
eastcentralreporter.com,29.3521694,-98.2964489,0,35.170.88.147,https://www.facebook.com/East-Central-Reporter-1017551808288816,East Central Reporter,eastcentreport,,2016-02-03T22:42:59.000Z,4875153526,71,19,3041
eastclevelandnews.com,41.5331066,-81.5790137,0,3.218.216.245,,,,,,,,,
eastdfwnews.com,32.8386646,-97.0125148,0,3.213.234.4,,East DFW News,,,,,,,
easternshoretimes.com,37.5397721,-75.8229685,0,3.212.144.110,,,,,,,,,
easternwaynetoday.com,35.3771332,-77.8815301,0,3.218.216.245,https://business.facebook.com/Eastern-Wayne-Today-100600154668579/?business_id=898179107217559,Eastern Wayne Today,,,,,,,
easthillsboroughnews.com,27.9994621,-82.3147141,0,3.212.144.110,,East Hillsborough News,,,,,,,
easthoustonnews.com,29.8296699,-95.2699349,0,3.213.234.4,,East Houston News,,,,,,,
eastidahotimes.com,43.8175115,-111.8012371,0,3.219.182.20,,,,,,,,,
eastindynews.com,39.7704511,-86.0717174,0,3.218.216.245,,,,,,,,,
eastkentuckytimes.com,37.5164758,-82.8067126,0,3.213.234.4,https://business.facebook.com/East-Kentucky-Times-111352810245930/?business_id=898179107217559,East Kentucky Times,,,,,,,
eastlakenormannews.com,35.5019795,-80.918003,0,3.212.144.110,https://www.facebook.com/East-Lake-Norman-News-105190370881365/,East Lake Norman News,,,,,,,
eastlittlerocktimes.com,34.73983,-92.235967,0,3.213.234.4,,,,,,,,,
eastlouisvillenews.com,38.2526647,-85.7584557,0,3.213.234.4,https://business.facebook.com/East-Louisville-News-105968707454981/?business_id=898179107217559,East Louisville News,,,,,,,
eastmichigannews.com,44.3148443,-85.6023643,0,3.218.216.245,https://business.facebook.com/East-Michigan-News-104854544261605/?business_id=898179107217559,East Michigan News,,,,,,,
eastnewmexiconews.com,34.5199402,-105.8700901,0,3.219.182.20,,East New Mexico News,,,,,,,
eastokcnews.com,,,0,3.224.13.68,,,,,,,,,
eastpanhandlenews.com,39.3349019,-78.5660852,0,3.212.144.110,,East Panhandle News,,,,,,,
eastpanhandletimes.com,39.3349019,-78.5660852,0,3.212.144.110,,,,,,,,,
eastpennyroyalnews.com,37.4943617,-84.998249,0,3.213.234.4,https://business.facebook.com/East-Pennyroyal-News-100193101372622/?business_id=898179107217559,East Pennyroyal News,,,,,,,
eastrgvnews.com,,,0,3.213.234.4,,East RGV News,,,,,,,
eastslcnews.com,40.7508769,-111.8552576,0,3.219.182.20,,,,,,,,,
eaststarknews.com,45.5189295,-122.488203,0,3.218.216.245,,,,,,,,,
easttwincities.com,44.9374831,-93.2009998,0,3.224.13.68,https://business.facebook.com/East-Twin-Cities-102017971223826/?business_id=898179107217559,East Twin Cities,,,,,,,
eastvolusianews.com,29.0279842,-81.0754657,0,3.212.144.110,,East Volusia News,,,,,,,
eastwaketimes.com,35.8140657,-78.424497,0,3.212.144.110,https://www.facebook.com/East-Wake-Times-109459453784640/,East Wake Times,,,,,,,
eastwichitatimes.com,37.6871761,-97.330053,0,3.224.13.68,,,,,,,,,
ecalabamanews.com,,,0,3.213.234.4,,,,,,,,,
ecgeorgianews.com,32.1656221,-82.9000751,0,3.212.144.110,,,,,,,,,
ecindiananews.com,,,0,3.218.216.245,,,,,,,,,
eciowanews.com,,,0,3.224.13.68,https://business.facebook.com/East-Central-Iowa-News-102928174455039/?business_id=898179107217559,East Central Iowa News,,,,,,,
eckansasnews.com,35.20105,-91.8318334,0,3.224.13.68,,,,,,,,,
ecmissnews.com,,,0,3.213.234.4,,,,,,,,,
ecnebraskanews.com,40.886728,-96.622094,0,3.224.13.68,,,,,,,,,
ecnorthcarolinanews.com,,,0,3.212.144.110,https://www.facebook.com/EC-North-Carolina-News-105550317511769/,EC North Carolina News,,,,,,,
ecohionews.com,39.4067414,-84.3043851,0,3.218.216.245,,,,,,,,,
ecoklahomanews.com,35.0077519,-97.092877,0,3.224.13.68,,,,,,,,,
ectexasnews.com,,,0,3.213.234.4,,East Central Texas News,,,,,,,
ecvirginianews.com,37.4315734,-78.6568942,0,3.212.144.110,,,,,,,,,
ecwisconsinnews.com,43.7844397,-88.7878678,0,3.218.216.245,,,,,,,,,
elizabethtowntimes.com,37.7030646,-85.8649408,0,3.213.234.4,https://business.facebook.com/Elizabethtown-Times-102532901135113/?business_id=898179107217559,Elizabethtown Times,,,,,,,
elkharttimes.com,41.6819935,-85.9766671,0,3.218.216.245,,,,,,,,,
elpasostandard.com,31.7618778,-106.4850217,0,3.213.234.4,,El Paso Standard,,,,,,,
emeraldcoasttimes.com,30.3886761,-86.4533322,0,3.212.144.110,,Emerald Coast Times,,,,,,,
enchantmentstatenews.com,,,0,3.219.182.20,,Enchantment State News,,,,,,,
equalitystatenews.com,43.0759678,-107.2902839,0,3.219.182.20,,,,,,,,,
fairfieldreporter.com,41.1408363,-73.2612615,0,3.218.216.245,,,,,,,,,
fargostandard.com,46.8771863,-96.7898034,0,3.224.13.68,,,,,,,,,
farwesttxnews.com,32.7183382,-96.6820478,0,3.213.234.4,,Far West Texas News,,,,,,,
fayettevillestandard.com,35.0526641,-78.8783585,0,3.213.234.4,,,,,,,,,
fayettevilletoday.com,35.0526641,-78.8783585,0,3.212.144.110,https://www.facebook.com/Fayetteville-Today-112462826815757/,Fayetteville Today,,,,,,,
findlaytimes.com,41.04422,-83.6499321,0,3.218.216.245,,,,,,,,,
firststatetimes.com,38.9710769,-95.2890118,0,3.212.144.110,https://www.facebook.com/First-State-Times-111265990223655/,First State Times,,,,,,,
flarecord.com,27.6648274,-81.5157535,0,52.7.148.177,https://www.facebook.com/Florida-Record-772624976214511/,Florida Record,FloridaRecord,https://itunes.apple.com/us/app/florida-record/id1247782056?mt=8,2016-03-25T21:00:56.000Z,7.13E+17,102,41,6292
flbusinessdaily.com,,,0,34.234.42.207,https://facebook.com/floridabizdaily,Florida Business Daily,,,,,,,
floridaparishnews.com,30.502557,-90.244953,0,3.213.234.4,,,,,,,,,
fondulacnews.com,43.7730448,-88.4470508,0,3.218.216.245,,,,,,,,,
foothillsreview.com,44.6703301,-70.1490845,0,3.212.144.110,https://www.facebook.com/Foothills-Review-101128717956444/,Foothills Review,,,,,,,
forestcountrynews.com,26.5002872,-81.8590422,0,3.213.234.4,,Forest Country News,,,,,,,
fortsmithtimes.com,35.3859242,-94.3985475,0,3.213.234.4,,,,,,,,,
foxcitiesnews.com,44.261275,-88.458663,0,3.218.216.245,,,,,,,,,
fredericksburgleader.com,30.2752011,-98.8719843,0,3.212.144.110,,,,,,,,,
ftwaynetimes.com,41.079273,-85.1393513,0,3.218.216.245,,,,,,,,,
ftworthtimes.com,32.7554883,-97.3307658,0,3.213.234.4,,Ft Worth Times,,,,,,,
gabusinessdaily.com,,,0,34.234.42.207,https://www.facebook.com/pg/Georgia-Business-Daily-1010328595811403,Georgia Business Daily,,,,,,,
gadsdentoday.com,34.014264,-86.0066386,0,3.213.234.4,,,,,,,,,
galesburgreporter.com,40.9478158,-90.3712395,0,35.170.88.147,https://www.facebook.com/GalesburgReporter/,Galesburg Reporter,,,,,,,
gastoniatimes.com,35.262082,-81.1873005,0,3.212.144.110,https://www.facebook.com/Gastonia-Times-119779936078342/,Gastonia Times,,,,,,,
gatewayreporter.com,37.0699685,-94.5349274,0,3.212.144.110,,,,,,,,,
gemstatewire.com,44.0682019,-114.7420408,0,3.219.182.20,,,,,,,,,
geneseenews.com,43.0777289,-83.6773928,0,3.218.216.245,https://business.facebook.com/Genesee-News-100698147991930/?business_id=898179107217559,Genesee News,,,,,,,
georgiamountainnews.com,34.6255842,-83.7933335,0,3.212.144.110,,,,,,,,,
glaciercountrynews.com,46.9172922,-114.0642645,0,3.219.182.20,https://www.facebook.com/Glacier-County-News-111596100255900/,Glacier Country News,,,,,,,
grandcanyontimes.com,36.1069652,-112.1129972,0,3.219.182.20,https://www.facebook.com/Grand-Canyon-Times-103936177693945/,Grand Canyon Times,,,,,,,
grandjunctiontimes.com,39.0638705,-108.5506486,0,3.219.182.20,,,,,,,,,
